Date,Time,Site,DATA ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp (°F),Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
8/17/2020,9:06:08 AM,Trout Bog,,720,20.1,21.4,0.01,21.6,14,71,-2.1,-2.1,64.6,5.68,68.1,0.39,0,4.74,125.5,283.2,0.001,0.273,0.271
8/17/2020,9:06:10 AM,Trout Bog,,720,20.9,22.3,0.01,22.4,14,71,-2.1,-2.1,64.5,5.68,68.1,0.4,0,4.75,125.5,283.6,0.001,0.273,0.272
8/17/2020,9:06:12 AM,Trout Bog,,720.1,20.4,21.7,0.01,21.9,14,71,-2.1,-2.1,64.5,5.68,68.1,0.41,0,4.75,125.5,284.1,0,0.272,0.271
8/17/2020,9:06:14 AM,Trout Bog,,720.1,18.6,19.9,0.01,20,13,71,-2.1,-2.1,64.5,5.67,68,0.41,0,4.75,125.5,284.5,0,0.272,0.272
8/17/2020,9:06:16 AM,Trout Bog,,720.1,16.6,17.8,0.01,17.9,12,71,-2.1,-2.1,64.4,5.67,68,0.39,0,4.75,125.5,284.9,0,0.272,0.273
8/17/2020,9:06:18 AM,Trout Bog,,719.9,16.5,17.7,0.01,17.8,11,71,-2.1,-2.1,64.4,5.67,68,0.4,0,4.75,125.5,285.3,0.001,0.273,0.271
8/17/2020,9:06:20 AM,Trout Bog,,720.1,16.5,17.7,0.01,17.8,11,71,-2.1,-2.1,64.3,5.66,67.9,0.39,0,4.74,125.6,285.7,-0.001,0.272,0.272
8/17/2020,9:06:22 AM,Trout Bog,,720,16.6,17.7,0.01,17.8,11,71,-2.1,-2.1,64.3,5.66,67.9,0.4,0,4.74,125.7,286.1,-0.001,0.272,0.272
8/17/2020,9:06:24 AM,Trout Bog,,720,16.6,17.7,0.01,17.8,12,71,-2.1,-2.1,64.2,5.65,67.8,0.38,0,4.74,125.9,286.6,0.001,0.273,0.271
8/17/2020,9:06:26 AM,Trout Bog,,720.1,18,19.2,0.01,19.3,12,71,-2.1,-2.1,64.2,5.65,67.7,0.36,0,4.74,126,287,0.001,0.273,0.272
8/17/2020,9:06:28 AM,Trout Bog,,720,20.6,22,0.01,22.1,14,71,-2.1,-2.1,64.1,5.64,67.7,0.36,0,4.74,126.1,287.4,0.001,0.273,0.27
