Date,Time,Site Name,Cond,Depth,nLFCond,ODO,ODO.1,ORP,Pressure,Sal,Sp_Cond,TDS,Turbidity,TSS,pH,pH.1,Temp,Vertical_Position,Barometer
6/6/2022,11:32:11,Trout Bog,16.8,0.282,18.5,86,7.7,235.3,0.014,0.01,18.3,12,0.42,0,4.59,125.8,20.745,0.286,713.2
6/6/2022,11:32:13,Trout Bog,16.8,0.281,18.5,86.1,7.72,235.6,0.013,0.01,18.3,12,0.43,0,4.59,125.7,20.692,0.269,713.2
6/6/2022,11:32:15,Trout Bog,16.8,0.282,18.5,86.1,7.72,236.2,0.014,0.01,18.3,12,0.43,0,4.47,133,20.667,0.293,713.2
6/6/2022,11:32:17,Trout Bog,16.8,0.281,18.5,86,7.72,251.2,0.013,0.01,18.4,12,0.43,0,4.36,139.3,20.613,0.272,713.2
6/6/2022,11:32:19,Trout Bog,16.8,0.282,18.5,85.9,7.72,248.5,0.014,0.01,18.4,12,0.43,0,4.39,137.7,20.538,0.285,713.2
6/6/2022,11:32:21,Trout Bog,16.8,0.281,18.6,85.6,7.72,247.2,0.013,0.01,18.4,12,0.43,0,4.43,135.1,20.414,0.292,713.2
6/6/2022,11:32:23,Trout Bog,16.8,0.282,18.6,85.5,7.72,245.8,0.014,0.01,18.5,12,0.43,0,4.46,133.4,20.308,0.276,713.2
6/6/2022,11:32:25,Trout Bog,16.8,0.282,18.7,85.1,7.71,245.1,0.014,0.01,18.5,12,0.42,0,4.48,132.2,20.165,0.292,713.2
6/6/2022,11:32:27,Trout Bog,16.8,0.282,18.7,84.6,7.69,244.7,0.014,0.01,18.6,12,0.41,0,4.49,131.3,19.975,0.278,713.3
6/6/2022,11:32:29,Trout Bog,16.7,0.282,18.8,84.1,7.67,244.5,0.014,0.01,18.6,12,0.41,0,4.5,130.7,19.785,0.284,713.1
6/6/2022,11:32:31,Trout Bog,16.7,0.282,18.8,83.7,7.66,244.4,0.014,0.01,18.6,12,0.43,0,4.51,130.1,19.635,0.285,713.2
6/6/2022,11:32:33,Trout Bog,16.6,0.282,18.7,83.3,7.64,244.3,0.014,0.01,18.6,12,0.44,0,4.52,129.6,19.519,0.277,713.2
6/6/2022,11:32:35,Trout Bog,16.6,0.282,18.7,82.9,7.63,244.3,0.015,0.01,18.5,12,0.45,0,4.52,129.2,19.399,0.285,713.2
6/6/2022,11:32:37,Trout Bog,16.5,0.282,18.7,82.6,7.62,244.4,0.015,0.01,18.5,12,0.47,0,4.53,128.8,19.261,0.294,713.2
6/6/2022,11:32:39,Trout Bog,16.4,0.283,18.7,82.4,7.62,244.4,0.016,0.01,18.5,12,0.46,0,4.53,128.5,19.143,0.307,713.2
6/6/2022,11:32:41,Trout Bog,16.4,0.285,18.7,82.2,7.62,244.5,0.019,0.01,18.5,12,0.48,0,4.54,128.1,19.027,0.329,713.2
6/6/2022,11:32:43,Trout Bog,16.3,0.286,18.7,82.2,7.63,244.6,0.021,0.01,18.5,12,0.49,0,4.55,127.2,18.978,0.303,713.2
6/6/2022,11:32:45,Trout Bog,16.3,0.289,18.6,82.1,7.63,244.6,0.024,0.01,18.5,12,0.48,0,4.56,126.7,18.887,0.34,713.2
6/6/2022,11:32:47,Trout Bog,16.3,0.292,18.6,82.1,7.64,244.8,0.028,0.01,18.5,12,0.49,0,4.57,126.3,18.811,0.332,713.2
6/6/2022,11:32:49,Trout Bog,16.2,0.295,18.6,82.1,7.65,245.1,0.033,0.01,18.4,12,0.49,0,4.57,126,18.775,0.363,713.2
