Date,Time,Site,Unit ID,User ID,Temp,Barometer,ODO,ODO.1,Sp_Cond,C_uS,nLFC,TDS,Sal,pH,pH.1,ORP,Turbidity,TSS,Depth,Vertical_Position
7/5/2022,10:16:47 AM,Trout Bog,BogGhost,Charles,22.733,716.6,82.6,7.12,19,18.2,19.1,12,0.01,4.53,129.4,318.3,-0.4,0,0.286,0.284
7/5/2022,10:16:49 AM,Trout Bog,BogGhost,Charles,22.732,716.6,82.6,7.12,19,18.2,19.1,12,0.01,4.53,129.5,318.3,-0.39,0,0.286,0.281
7/5/2022,10:16:51 AM,Trout Bog,BogGhost,Charles,22.733,716.6,82.6,7.13,19,18.2,19.1,12,0.01,4.53,129.5,318.4,-0.4,0,0.286,0.296
7/5/2022,10:16:53 AM,Trout Bog,BogGhost,Charles,22.732,716.7,82.7,7.13,19,18.2,19.1,12,0.01,4.52,129.7,318.6,-0.4,0,0.286,0.282
7/5/2022,10:16:55 AM,Trout Bog,BogGhost,Charles,22.729,716.6,82.7,7.13,19,18.2,19.1,12,0.01,4.52,129.9,318.9,-0.4,0,0.286,0.299
7/5/2022,10:16:57 AM,Trout Bog,BogGhost,Charles,22.725,716.7,82.7,7.13,19,18.2,19.1,12,0.01,4.52,130,319.1,-0.4,0,0.286,0.271
7/5/2022,10:16:59 AM,Trout Bog,BogGhost,Charles,22.718,716.7,82.7,7.13,19,18.2,19.1,12,0.01,4.52,130.1,319.3,-0.39,0,0.286,0.298
7/5/2022,10:17:01 AM,Trout Bog,BogGhost,Charles,22.708,716.6,82.6,7.13,19,18.2+G9,19.1,12,0.01,4.51,130.2,319.6,-0.41,0,0.285,0.27
7/5/2022,10:17:03 AM,Trout Bog,BogGhost,Charles,22.696,716.6,82.6,7.12,19,18.2,19.1,12,0.01,4.51,130.3,319.9,-0.41,0,0.286,0.295
7/5/2022,10:17:05 AM,Trout Bog,BogGhost,Charles,22.683,716.6,82.5,7.12,19,18.2,19.1,12,0.01,4.51,130.4,320.2,-0.42,0,0.286,0.278
7/5/2022,10:17:07 AM,Trout Bog,BogGhost,Charles,22.667,716.6,82.3,7.1,19,18.2,19.1,12,0.01,4.51,130.4,320.7,-0.41,0,0.287,0.309
7/5/2022,10:17:09 AM,Trout Bog,BogGhost,Charles,22.649,716.7,82,7.08,19,18.2,19.1,12,0.01,4.51,130.4,321.1,-0.42,0,0.288,0.336
7/5/2022,10:17:11 AM,Trout Bog,BogGhost,Charles,22.631,716.6,81.7,7.05,19,18.2,19.1,12,0.01,4.51,130.4,321.5,-0.42,0,0.292,0.348
7/5/2022,10:17:13 AM,Trout Bog,BogGhost,Charles,22.615,716.7,81.2,7.02,19.1,18.2,19.1,12,0.01,4.51,130.4,322,-0.42,0,0.296,0.371
7/5/2022,10:17:15 AM,Trout Bog,BogGhost,Charles,22.601,716.6,80.7,6.97,19.1,18.2,19.1,12,0.01,4.51,130.3,322.4,-0.4,0,0.3,0.377
7/5/2022,10:17:17 AM,Trout Bog,BogGhost,Charles,22.584,716.7,80.2,6.93,19.1,18.2,19.2,12,0.01,4.51,130.2,322.8,-0.4,0,0.305,0.398
7/5/2022,10:17:19 AM,Trout Bog,BogGhost,Charles,22.568,716.6,79.7,6.89,19.1,18.2,19.2,12,0.01,4.52,130,323.3,-0.4,0,0.311,0.398
7/5/2022,10:17:21 AM,Trout Bog,BogGhost,Charles,22.554,716.6,79.3,6.86,19.1,18.2,19.2,12,0.01,4.52,130,323.8,-0.42,0,0.317,0.41
7/5/2022,10:17:23 AM,Trout Bog,BogGhost,Charles,22.539,716.7,79,6.84,19.1,18.2,19.2,12,0.01,4.52,129.9,324.2,-0.42,0,0.324,0.426
7/5/2022,10:17:25 AM,Trout Bog,BogGhost,Charles,22.524,716.8,78.8,6.82,19.1,18.2,19.2,12,0.01,4.52,129.8,324.7,-0.42,0,0.333,0.465
7/5/2022,10:17:27 AM,Trout Bog,BogGhost,Charles,22.503,716.6,78.7,6.82,19.1,18.2,19.2,12,0.01,4.52,129.8,325.2,-0.4,0,0.341,0.467
7/5/2022,10:17:29 AM,Trout Bog,BogGhost,Charles,22.481,716.6,78.6,6.81,19.1,18.2,19.2,12,0.01,4.52,129.7,325.7,-0.42,0,0.354,0.548
7/5/2022,10:17:31 AM,Trout Bog,BogGhost,Charles,22.452,716.6,78.5,6.81,19.1,18.2,19.2,12,0.01,4.52,129.7,326.2,-0.43,0,0.367,0.563
7/5/2022,10:17:33 AM,Trout Bog,BogGhost,Charles,22.405,716.7,78.4,6.8,19.1,18.2,19.2,12,0.01,4.52,129.7,326.8,-0.44,0,0.385,0.639
7/5/2022,10:17:35 AM,Trout Bog,BogGhost,Charles,22.325,716.7,78.1,6.79,19.2,18.2,19.3,12,0.01,4.52,129.8,327.3,-0.42,0,0.405,0.68
7/5/2022,10:17:37 AM,Trout Bog,BogGhost,Charles,22.214,716.6,74.1,6.45,19.3,18.2,19.4,13,0.01,4.52,129.8,327.9,-0.41,0,0.429,0.725
7/5/2022,10:17:39 AM,Trout Bog,BogGhost,Charles,22.07,716.6,72,6.28,19.4,18.3,19.5,13,0.01,4.52,129.8,328.4,-0.41,0,0.452,0.757
7/5/2022,10:17:41 AM,Trout Bog,BogGhost,Charles,21.869,716.6,69.8,6.11,19.5,18.3,19.6,13,0.01,4.51,129.9,329,-0.41,0,0.479,0.776
7/5/2022,10:17:43 AM,Trout Bog,BogGhost,Charles,21.627,716.6,63.4,5.58,19.6,18.3,19.7,13,0.01,4.51,130,329.6,-0.41,0,0.505,0.83
7/5/2022,10:17:45 AM,Trout Bog,BogGhost,Charles,20.333,716.6,59.4,5.36,20.2,18.4,20.4,13,0.01,4.5,130.2,330.2,-0.39,0,0.532,0.836
