Date,Time,Site,Unit ID,User ID,Temp,Barometer,ODO,ODO.1,Sp_Cond,C-uS/cm-18E103508,nLFC-uS/cm-18E103508,TDS,Sal,pH,pH.1,ORP,Turbidity,TSS,Depth,Vertical_Position,Pressure
7/18/2022,12:10:08 PM,Trout Bog,BogGhost,Charles,29.322,715.2,93.5,7.15,17.7,19.1,17.5,11,0.01,4.54,129.1,277.2,-0.38,0,0.279,0.272,0.009
7/18/2022,12:10:10 PM,Trout Bog,BogGhost,Charles,29.283,715.1,93.5,7.15,18.3,19.8,18.1,12,0.01,4.54,129,277.5,-0.37,0,0.278,0.277,0.009
7/18/2022,12:10:12 PM,Trout Bog,BogGhost,Charles,29.197,715.1,93.4,7.15,18.3,19.8,18.2,12,0.01,4.38,138.6,278.7,-0.33,0,0.279,0.285,0.01
7/18/2022,12:10:14 PM,Trout Bog,BogGhost,Charles,29.114,715.1,93.2,7.15,18.3,19.8,18.2,12,0.01,4.16,151.7,301.8,-0.32,0,0.278,0.281,0.009
7/18/2022,12:10:16 PM,Trout Bog,BogGhost,Charles,29.056,715.2,93.1,7.15,18.3,19.7,18.2,12,0.01,4.19,149.8,298.5,-0.31,0,0.278,0.275,0.009
7/18/2022,12:10:18 PM,Trout Bog,BogGhost,Charles,29.035,715.1,93.1,7.16,18.4,19.8,18.3,12,0.01,4.28,144.8,293.9,-0.28,0,0.279,0.289,0.009
7/18/2022,12:10:20 PM,Trout Bog,BogGhost,Charles,26.998,715.3,90.6,7.2,19.1,19.8,19,12,0.01,4.32,141.5,291,-0.3,0,0.278,0.275,0.009
7/18/2022,12:10:22 PM,Trout Bog,BogGhost,Charles,26.785,715.2,89,7.11,19.2,19.8,19.1,12,0.01,4.35,139.3,289.8,-0.31,0,0.279,0.286,0.01
7/18/2022,12:10:24 PM,Trout Bog,BogGhost,Charles,26.406,715.2,87.4,7.03,19.2,19.8,19.2,13,0.01,4.38,137.6,289.4,-0.33,0,0.279,0.283,0.01
7/18/2022,12:10:26 PM,Trout Bog,BogGhost,Charles,26.053,715.2,86.6,7.01,19.3,19.7,19.3,13,0.01,4.39,136.3,289.4,-0.36,0,0.279,0.288,0.011
7/18/2022,12:10:28 PM,Trout Bog,BogGhost,Charles,25.806,715.2,86,6.99,19.3,19.6,19.3,13,0.01,4.41,135.4,289.7,-0.39,0,0.281,0.303,0.012
7/18/2022,12:10:30 PM,Trout Bog,BogGhost,Charles,25.659,715.2,85.3,6.96,19.2,19.5,19.2,12,0.01,4.42,134.6,290.1,-0.42,0,0.282,0.334,0.014
7/18/2022,12:10:32 PM,Trout Bog,BogGhost,Charles,25.561,715.3,84.9,6.94,19.1,19.3,19.1,12,0.01,4.43,133.9,290.6,-0.45,0,0.286,0.348,0.02
