Date,Time ,Site Name,Cond,Depth,nLFCond,ODO,ODO.1,ORP,Pressure,Sal,Sp_Cond,TDS,Turbidity,TSS,pH,pH.1,Temp,Vertical_Position,Barometer
5/23/2022,12:39:42,Trout Bog,15.3,0.27,19.2,66.7,6.75,250.3,-0.002,0.01,18.9,12,0.86,0,4.41,130.7,14.848,0.277,726.7
5/23/2022,12:39:44,Trout Bog,14.6,0.271,18.4,66.6,6.74,250.3,-0.001,0.01,18.1,12,0.85,0,4.41,130.7,14.869,0.284,726.7
5/23/2022,12:39:46,Trout Bog,14.4,0.271,18.1,66.5,6.72,250.3,-0.002,0.01,17.8,12,0.85,0,4.41,130.7,14.935,0.269,726.6
5/23/2022,12:39:48,Trout Bog,14.5,0.271,18.2,66.5,6.71,250.3,-0.001,0.01,17.9,12,0.84,0,4.41,130.7,14.943,0.276,726.7
5/23/2022,12:39:50,Trout Bog,14.5,0.271,18.2,66.3,6.7,250.3,-0.002,0.01,17.9,12,0.84,0,4.41,130.7,14.887,0.263,726.7
5/23/2022,12:39:52,Trout Bog,14.5,0.271,18.3,66.2,6.7,250.4,-0.002,0.01,18,12,0.82,0,4.41,130.8,14.802,0.28,726.7
5/23/2022,12:39:54,Trout Bog,14.8,0.271,18.7,66.1,6.7,272.6,-0.002,0.01,18.5,12,0.83,0,4.03,152.6,14.706,0.251,726.7
5/23/2022,12:39:56,Trout Bog,15.5,0.271,19.6,65.9,6.71,269.9,-0.002,0.01,19.3,13,0.85,0,4.05,151.5,14.597,0.263,726.7
5/23/2022,12:39:58,Trout Bog,15.8,0.271,20.1,65.8,6.7,267.3,-0.001,0.01,19.8,13,0.87,0,4.12,147.4,14.47,0.275,726.7
5/23/2022,12:40:00,Trout Bog,15.9,0.271,20.3,65.6,6.71,265.4,-0.001,0.01,20,13,0.87,0,4.16,145.1,14.362,0.283,726.7
5/23/2022,12:40:02,Trout Bog,15.9,0.271,20.3,65.5,6.71,264.1,-0.001,0.01,20,13,0.9,0,4.18,143.4,14.252,0.265,726.7
5/23/2022,12:40:04,Trout Bog,15.8,0.272,20.3,65.4,6.71,263.2,0,0.01,20,13,0.93,0,4.21,142.1,14.152,0.289,726.7
5/23/2022,12:40:06,Trout Bog,15.8,0.272,20.3,65.3,6.72,262.4,0,0.01,20,13,0.95,0,4.23,141,14.066,0.27,726.7
5/23/2022,12:40:08,Trout Bog,15.7,0.274,20.3,65.3,6.73,261.8,0.003,0.01,19.9,13,0.96,0,4.24,140,13.961,0.319,726.6
5/23/2022,12:40:10,Trout Bog,15.7,0.277,20.2,65.4,6.76,261.4,0.007,0.01,19.9,13,0.95,0,4.25,139.2,13.848,0.327,726.7
5/23/2022,12:40:12,Trout Bog,15.6,0.282,20.2,65.5,6.79,261,0.014,0.01,19.9,13,0.94,0,4.27,138.5,13.714,0.372,726.6
5/23/2022,12:40:14,Trout Bog,15.5,0.287,20.2,65.7,6.83,260.8,0.021,0.01,19.8,13,0.95,0,4.28,137.8,13.569,0.372,726.7
5/23/2022,12:40:16,Trout Bog,15.4,0.292,20.1,66,6.88,260.5,0.028,0.01,19.8,13,0.93,0,4.28,137.2,13.443,0.36,726.7
5/23/2022,12:40:18,Trout Bog,15.3,0.297,20.1,66.4,6.94,260.3,0.036,0.01,19.7,13,0.9,0,4.29,136.7,13.32,0.388,726.7
5/23/2022,12:40:20,Trout Bog,15.2,0.304,20,66.8,7,259.8,0.045,0.01,19.7,13,0.89,0,4.31,135.5,13.217,0.388,726.7
5/23/2022,12:40:22,Trout Bog,15.2,0.309,20,67.1,7.05,259.3,0.053,0.01,19.6,13,0.87,0,4.33,134.4,13.139,0.414,726.7
5/23/2022,12:40:24,Trout Bog,15.1,0.317,19.9,67.5,7.09,259.1,0.064,0.01,19.6,13,0.86,0,4.35,133.5,13.075,0.417,726.7
5/23/2022,12:40:26,Trout Bog,15.1,0.325,19.9,67.8,7.13,259,0.075,0.01,19.6,13,0.85,0,4.36,132.9,13.037,0.424,726.7
5/23/2022,12:40:28,Trout Bog,15.1,0.334,19.9,68,7.16,259,0.087,0.01,19.5,13,0.84,0,4.37,132.3,13.003,0.432,726.7
5/23/2022,12:40:30,Trout Bog,15.1,0.343,19.9,68.1,7.18,259.1,0.101,0.01,19.5,13,0.83,0,4.37,131.9,12.971,0.457,726.7
5/23/2022,12:40:32,Trout Bog,15,0.353,19.9,68.1,7.19,259.2,0.115,0.01,19.5,13,0.83,0,4.38,131.6,12.952,0.464,726.7
5/23/2022,12:40:34,Trout Bog,15,0.366,19.9,68.1,7.19,259.4,0.133,0.01,19.5,13,0.84,0,4.38,131.3,12.931,0.511,726.7
5/23/2022,12:40:36,Trout Bog,15,0.38,19.9,68.1,7.19,259.6,0.154,0.01,19.5,13,0.84,0,4.39,131,12.894,0.532,726.7
5/23/2022,12:40:38,Trout Bog,15,0.392,19.8,68.1,7.19,259.8,0.171,0.01,19.5,13,0.84,0,4.39,130.8,12.857,0.532,726.7
5/23/2022,12:40:40,Trout Bog,15,0.405,19.8,68.1,7.2,260,0.189,0.01,19.5,13,0.84,0,4.39,130.6,12.821,0.541,726.7
5/23/2022,12:40:42,Trout Bog,15,0.421,19.8,68.2,7.23,260.3,0.212,0.01,19.5,13,0.84,0,4.4,130.4,12.784,0.554,726.7
5/23/2022,12:40:44,Trout Bog,14.9,0.435,19.8,68.5,7.25,260.5,0.232,0.01,19.5,13,0.85,0,4.4,130.3,12.749,0.58,726.7
5/23/2022,12:40:46,Trout Bog,14.9,0.45,19.8,68.7,7.29,260.8,0.253,0.01,19.5,13,0.85,0,4.4,130.1,12.716,0.577,726.7
5/23/2022,12:40:48,Trout Bog,14.9,0.464,19.8,69.1,7.33,261.1,0.273,0.01,19.5,13,0.84,0,4.4,130,12.689,0.6,726.8
5/23/2022,12:40:50,Trout Bog,14.9,0.478,19.8,69.5,7.38,261.3,0.293,0.01,19.5,13,0.83,0,4.4,129.9,12.671,0.624,726.7
5/23/2022,12:40:52,Trout Bog,14.9,0.489,19.8,69.8,7.41,261.6,0.309,0.01,19.5,13,0.83,0,4.41,129.8,12.655,0.616,726.7
5/23/2022,12:40:54,Trout Bog,14.9,0.503,19.8,70.1,7.45,261.9,0.328,0.01,19.5,13,0.82,0,4.41,129.7,12.654,0.629,726.7
5/23/2022,12:40:56,Trout Bog,14.9,0.517,19.8,70.4,7.47,262.2,0.349,0.01,19.5,13,0.81,0,4.41,129.6,12.646,0.652,726.6
