DATE,TIME,SITE,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
8/13/2023,10:54:28 AM,Trout Bog,BogGhost,720.4,15.4,16.5,0.01,16.7,11,21.44444444,-2.1,-2.1,81.6,7.21,86.1,0.18,0,4.18,137.5,439.5,0.005,0,0.269
8/13/2023,10:54:30 AM,Trout Bog,BogGhost,720.2,14.5,15.5,0.01,15.6,10,21.44444444,-2.1,-2.1,81.5,7.2,86,0.19,0,4.18,137.4,439.7,0.004,0.0135,0.272
8/13/2023,10:54:32 AM,Trout Bog,BogGhost,720.3,14,15,0.01,15.1,10,21.44444444,-2.1,-2.1,81.4,7.19,85.9,0.2,0,4.18,137.4,439.9,0.005,0.027,0.281
8/13/2023,10:54:34 AM,Trout Bog,BogGhost,720.2,14.7,15.8,0.01,15.9,10,21.44444444,-2.1,-2.1,81.4,7.19,85.9,0.19,0,3.87,155.2,463.5,0.005,0.0405,0.272
8/13/2023,10:54:36 AM,Trout Bog,BogGhost,720.4,15,16.1,0.01,16.2,10,21.44444444,-2.1,-2.1,81.4,7.19,85.8,0.2,0,3.74,162.9,468.1,0.005,0.054,0.279
8/13/2023,10:54:38 AM,Trout Bog,BogGhost,720.3,15,16.1,0.01,16.2,10,21.44444444,-2.1,-2.1,81.3,7.18,85.8,0.21,0,3.75,161.9,467.5,0.006,0.0675,0.291
8/13/2023,10:54:40 AM,Trout Bog,BogGhost,720.3,15.7,16.9,0.01,17,11,21.44444444,-2.1,-2.1,81.2,7.18,85.7,0.22,0,3.78,160.7,466.6,0.005,0.081,0.277
8/13/2023,10:54:42 AM,Trout Bog,BogGhost,720.3,16.6,17.8,0.01,17.9,12,21.44444444,-2.1,-2.1,81.2,7.17,85.7,0.22,0,3.82,158.1,464.3,0.007,0.0945,0.293
8/13/2023,10:54:44 AM,Trout Bog,BogGhost,720.3,17.4,18.7,0.01,18.8,12,21.44444444,-2.1,-2.1,81.1,7.17,85.6,0.23,0,3.86,155.7,462.1,0.007,0.108,0.272
8/13/2023,10:54:46 AM,Trout Bog,BogGhost,720.3,17.5,18.8,0.01,18.9,12,21.38888889,-2.1,-2.1,80.9,7.16,85.4,0.23,0,3.9,153.7,460.4,0.007,0.1215,0.279
8/13/2023,10:54:48 AM,Trout Bog,BogGhost,720.4,17.5,18.8,0.01,19,12,21.38888889,-2.1,-2.1,80.7,7.14,85.1,0.22,0,4.05,144.7,459.2,0.006,0.135,0.28
8/13/2023,10:54:50 AM,Trout Bog,BogGhost,720.3,17.5,18.9,0.01,19,12,21.27777778,-2.1,-2.1,80.3,7.12,84.8,0.22,0,4.07,143.7,458.5,0.007,0.1485,0.285
8/13/2023,10:54:52 AM,Trout Bog,BogGhost,720.3,17.5,18.9,0.01,19,12,21.22222222,-2,-2,79.9,7.09,84.3,0.23,0,4.08,143.2,458,0.007,0.162,0.275
8/13/2023,10:54:54 AM,Trout Bog,BogGhost,720.2,17.5,18.9,0.01,19.1,12,21.11111111,-2,-2,79.4,7.05,83.7,0.22,0,4.08,142.8,457.7,0.006,0.1755,0.269
8/13/2023,10:54:56 AM,Trout Bog,BogGhost,720.4,17.5,19,0.01,19.1,12,21.05555556,-2,-2,78.7,7.01,83.1,0.24,0,4.09,142.5,457.6,0.006,0.189,0.277
8/13/2023,10:54:58 AM,Trout Bog,BogGhost,720.3,17.5,19,0.01,19.1,12,20.94444444,-2,-2,78.2,6.97,82.5,0.22,0,4.09,142.1,457.6,0.007,0.2025,0.281
8/13/2023,10:55:00 AM,Trout Bog,BogGhost,720.2,17.5,19,0.01,19.1,12,20.94444444,-2,-2,77.7,6.94,82,0.24,0,4.1,141.8,457.5,0.006,0.216,0.283
8/13/2023,10:55:02 AM,Trout Bog,BogGhost,720.3,17.5,19,0.01,19.1,12,20.88888889,-2,-2,77.3,6.91,81.6,0.25,0,4.1,141.6,456.9,0.007,0.2295,0.283
8/13/2023,10:55:04 AM,Trout Bog,BogGhost,720.3,17.5,19,0.01,19.1,12,20.83333333,-2,-2,77,6.88,81.3,0.25,0,4.1,141.4,456.8,0.009,0.243,0.338
8/13/2023,10:55:06 AM,Trout Bog,BogGhost,720.4,17.5,19,0.01,19.1,12,20.77777778,-2,-2,76.8,6.87,81,0.22,0,4.11,141.2,457,0.014,0.2565,0.334
8/13/2023,10:55:08 AM,Trout Bog,BogGhost,720.4,17.5,19,0.01,19.1,12,20.72222222,-1.9,-1.9,76.7,6.87,80.9,0.2,0,4.11,141,457.6,0.021,0.27,0.385
8/13/2023,10:55:10 AM,Trout Bog,BogGhost,720.3,17.4,19,0.01,19.2,12,20.66666667,-1.9,-1.9,76.7,6.88,80.9,0.18,0,4.11,140.8,458.5,0.029,0.2835,0.386
8/13/2023,10:55:12 AM,Trout Bog,BogGhost,720.4,17.4,19,0.01,19.2,12,20.61111111,-1.9,-1.9,76.8,6.9,81,0.19,0,4.11,140.7,459.3,0.04,0.297,0.426
8/13/2023,10:55:14 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.2,12,20.55555556,-1.9,-1.9,77,6.92,81.2,0.16,0,4.12,140.4,460.3,0.05,0.307,0.424
8/13/2023,10:55:16 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.2,12,20.5,-1.9,-1.9,77.3,6.96,81.6,0.15,0,4.12,140.1,461.3,0.064,0.317,0.465
8/13/2023,10:55:18 AM,Trout Bog,BogGhost,720.4,17.4,19,0.01,19.2,12,20.5,-1.9,-1.9,77.7,6.99,81.9,0.14,0,4.13,139.8,462.3,0.077,0.326,0.48
8/13/2023,10:55:20 AM,Trout Bog,BogGhost,720.3,17.4,19,0.01,19.2,12,20.5,-1.9,-1.9,78,7.03,82.3,0.15,0,4.13,139.6,463.4,0.095,0.339,0.516
8/13/2023,10:55:22 AM,Trout Bog,BogGhost,720.2,17.4,19,0.01,19.2,12,20.5,-1.9,-1.9,78.4,7.06,82.7,0.18,0,4.13,139.6,464.6,0.114,0.353,0.578
8/13/2023,10:55:24 AM,Trout Bog,BogGhost,720.3,17.4,19,0.01,19.2,12,20.44444444,-1.9,-1.9,78.7,7.09,83,0.18,0,4.13,139.6,465.8,0.14,0.37,0.606
8/13/2023,10:55:26 AM,Trout Bog,BogGhost,720.3,17.4,19,0.01,19.2,12,20.44444444,-1.9,-1.9,78.9,7.11,83.2,0.19,0,4.13,139.6,467.2,0.166,0.389,0.664
8/13/2023,10:55:28 AM,Trout Bog,BogGhost,720.2,17.4,19,0.01,19.2,12,20.44444444,-1.9,-1.9,79.1,7.13,83.4,0.18,0,4.13,139.7,468.6,0.195,0.41,0.687
8/13/2023,10:55:30 AM,Trout Bog,BogGhost,720.4,17.4,19.1,0.01,19.2,12,20.38888889,-1.9,-1.9,79.2,7.14,83.5,0.19,0,4.13,139.8,470.1,0.23,0.434,0.734
8/13/2023,10:55:32 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.2,12,20.33333333,-1.9,-1.9,79.2,7.15,83.6,0.2,0,4.12,140,471.4,0.265,0.458,0.754
8/13/2023,10:55:34 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.2,12,20.33333333,-1.8,-1.8,79.2,7.16,83.6,0.22,0,4.12,140.1,472.8,0.304,0.486,0.804
8/13/2023,10:55:36 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.2,12,20.27777778,-1.8,-1.8,79.2,7.16,83.6,0.23,0,4.12,140.3,474.1,0.344,0.514,0.822
8/13/2023,10:55:38 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.2,12,20.27777778,-1.8,-1.8,79.2,7.16,83.5,0.22,0,4.12,140.4,475.4,0.388,0.545,0.843
8/13/2023,10:55:40 AM,Trout Bog,BogGhost,720.4,17.4,19.1,0.01,19.2,12,20.27777778,-1.8,-1.8,79.1,7.15,83.4,0.21,0,4.11,140.6,476.8,0.429,0.574,0.843
8/13/2023,10:55:42 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.2,12,20.22222222,-1.8,-1.8,78.9,7.14,83.3,0.22,0,4.11,140.6,478,0.472,0.605,0.883
8/13/2023,10:55:44 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.3,12,20.22222222,-1.8,-1.8,78.8,7.13,83.1,0.2,0,4.11,140.7,479.1,0.511,0.632,0.873
8/13/2023,10:55:46 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.3,12,20.22222222,-1.8,-1.8,78.6,7.11,82.9,0.16,0,4.11,140.6,480.1,0.554,0.662,0.924
8/13/2023,10:55:48 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.3,12,20.22222222,-1.8,-1.8,78.3,7.09,82.6,0.14,0,4.11,140.5,481,0.59,0.688,0.897
8/13/2023,10:55:50 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.3,12,20.22222222,-1.8,-1.8,78.1,7.07,82.4,0.11,0,4.12,140.4,481.8,0.632,0.717,0.93
8/13/2023,10:55:52 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.3,12,20.16666667,-1.8,-1.8,77.9,7.06,82.2,0.09,0,4.12,140.3,482.7,0.668,0.743,0.95
8/13/2023,10:55:54 AM,Trout Bog,BogGhost,720.2,17.4,19.1,0.01,19.3,12,20.16666667,-1.8,-1.8,77.7,7.04,82,0.1,0,4.12,140.1,483.4,0.707,0.77,0.945
8/13/2023,10:55:56 AM,Trout Bog,BogGhost,720.2,17.4,19.1,0.01,19.3,12,20.16666667,-1.8,-1.8,77.5,7.03,81.8,0.09,0,4.12,140,484.1,0.742,0.795,0.969
8/13/2023,10:55:58 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.3,12,20.16666667,-1.8,-1.8,77.4,7.02,81.7,0.09,0,4.13,139.8,484.7,0.779,0.821,0.98
8/13/2023,10:56:00 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.3,12,20.16666667,-1.8,-1.8,77.4,7.01,81.6,0.1,0,4.13,139.7,485.3,0.809,0.842,0.983
8/13/2023,10:56:02 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.3,12,20.16666667,-1.8,-1.8,77.3,7.01,81.6,0.09,0,4.13,139.5,485.9,0.838,0.862,1.003
8/13/2023,10:56:04 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.3,12,20.11111111,-1.8,-1.8,77.3,7.01,81.5,0.1,0,4.13,139.3,486.4,0.865,0.881,1.004
8/13/2023,10:56:06 AM,Trout Bog,BogGhost,720.3,17.4,19.1,0.01,19.3,12,20.11111111,-1.8,-1.8,77.2,7,81.5,0.12,0,4.14,139.2,487,0.889,0.898,1.013
8/13/2023,10:56:08 AM,Trout Bog,BogGhost,720.4,17.4,19.1,0.01,19.3,12,20.11111111,-1.8,-1.8,77.1,7,81.4,0.12,0,4.14,139,487.5,0.912,0.915,1.038
8/13/2023,10:56:10 AM,Trout Bog,BogGhost,720.2,17.3,19.2,0.01,19.3,12,20.05555556,-1.8,-1.8,77.1,7,81.3,0.13,0,4.14,138.9,487.9,0.933,0.929,1.028
8/13/2023,10:56:12 AM,Trout Bog,BogGhost,720.3,17.3,19.2,0.01,19.3,12,20.05555556,-1.8,-1.8,77,6.99,81.2,0.16,0,4.14,138.8,488.2,0.953,0.943,1.064
8/13/2023,10:56:14 AM,Trout Bog,BogGhost,720.2,17.3,19.2,0.01,19.3,12,20.05555556,-1.8,-1.8,76.9,6.98,81.1,0.23,0,4.14,138.7,488.5,0.969,0.954,1.046
8/13/2023,10:56:16 AM,Trout Bog,BogGhost,720.4,17.3,19.2,0.01,19.3,12,20.05555556,-1.8,-1.8,76.7,6.97,80.9,0.33,0,4.14,138.7,488.3,0.988,0.968,1.084
8/13/2023,10:56:18 AM,Trout Bog,BogGhost,720.3,17.4,19.2,0.01,19.4,12,20,-1.8,-1.8,76.5,6.96,80.7,0.52,0,4.14,138.9,487.4,1.003,0.978,1.063
8/13/2023,10:56:20 AM,Trout Bog,BogGhost,720.3,17.4,19.2,0.01,19.4,12,19.94444444,-1.8,-1.8,76.2,6.93,80.4,0.64,0,4.13,139.1,454,1.02,0.991,1.082
8/13/2023,10:56:22 AM,Trout Bog,BogGhost,720.3,17.4,19.2,0.01,19.4,13,19.94444444,-1.8,-1.8,75.8,6.9,80,0.74,0,4.13,139.4,440.7,1.035,1.001,1.095
8/13/2023,10:56:24 AM,Trout Bog,BogGhost,720.3,17.4,19.3,0.01,19.5,13,19.83333333,-1.8,-1.7,71.7,6.54,75.7,0.84,0,4.12,139.8,435.2,1.05,1.012,1.098
8/13/2023,10:56:26 AM,Trout Bog,BogGhost,720.2,17.4,19.3,0.01,19.5,13,19.77777778,-1.7,-1.7,69,6.3,72.9,0.93,0,4.11,140.2,427.9,1.066,1.023,1.128
