Date,Time,Site,DATA ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp (°F),Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
6/15/2021,11:18:53 AM,Trout Bog,,723.5,18.5,18.9,0.01,19,12,74.8,-2.6,-2.6,78.1,6.6,82,0.14,0,4.58,113.7,243.1,0.001,0.273,0.272
6/15/2021,11:18:55 AM,Trout Bog,,723.4,18.5,18.9,0.01,19,12,74.8,-2.6,-2.6,78,6.59,81.9,0.14,0,4.58,113.9,243.7,0.001,0.273,0.272
6/15/2021,11:18:57 AM,Trout Bog,,723.4,18.5,18.9,0.01,19,12,74.7,-2.6,-2.6,77.7,6.57,81.6,0.14,0,4.5,118.5,255.9,0.001,0.273,0.272
6/15/2021,11:18:59 AM,Trout Bog,,723.5,18.5,19,0.01,19.1,12,74.6,-2.6,-2.6,77.3,6.54,81.2,0.15,0,4.53,116.5,253.6,0.001,0.273,0.272
6/15/2021,11:19:01 AM,Trout Bog,,723.6,18.6,19.1,0.01,19.2,12,74.4,-2.6,-2.6,76.7,6.51,80.6,0.14,0,4.54,115.8,252.3,0,0.272,0.273
6/15/2021,11:19:03 AM,Trout Bog,,723.6,18.6,19.2,0.01,19.3,12,74.2,-2.6,-2.6,76.1,6.47,79.9,0.15,0,4.54,115.8,252.7,0,0.272,0.275
6/15/2021,11:19:05 AM,Trout Bog,,723.5,18.7,19.3,0.01,19.4,13,73.9,-2.5,-2.5,75.5,6.44,79.3,0.15,0,4.54,116,253.7,0,0.272,0.271
6/15/2021,11:19:07 AM,Trout Bog,,723.6,18.7,19.4,0.01,19.5,13,73.6,-2.5,-2.5,75,6.41,78.7,0.17,0,4.53,116.1,254.5,0.002,0.273,0.274
6/15/2021,11:19:09 AM,Trout Bog,,723.5,18.7,19.5,0.01,19.6,13,73.3,-2.4,-2.4,74.4,6.38,78.2,0.15,0,4.53,116.2,255.4,-0.001,0.271,0.274
6/15/2021,11:19:11 AM,Trout Bog,,723.5,18.8,19.6,0.01,19.7,13,72.9,-2.4,-2.4,74,6.37,77.7,0.14,0,4.53,116.3,256.4,0.002,0.274,0.285
