Date,Time,Site,DATA ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp (°F),Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
6/1/2021,9:51:41 AM,Trout Bog,,722.8,14.4,16.9,0.01,17.2,11,62.6,-1.2,-1.2,76.8,7.42,80.7,0.16,0,4.22,122.9,266.1,0.003,0.274,0.274
6/1/2021,9:51:43 AM,Trout Bog,,722.8,14.4,17,0.01,17.3,11,62.6,-1.2,-1.2,76.8,7.42,80.7,0.16,0,4.22,123,266.2,0.005,0.275,0.273
6/1/2021,9:51:45 AM,Trout Bog,,722.9,15,17.6,0.01,17.9,11,62.6,-1.2,-1.2,76.7,7.41,80.7,0.16,0,4.22,123,266.3,0.003,0.274,0.275
6/1/2021,9:51:47 AM,Trout Bog,,722.9,16.3,19.2,0.01,19.4,12,62.6,-1.2,-1.2,76.7,7.41,80.6,0.16,0,4.22,123,266.5,0.003,0.274,0.275
6/1/2021,9:51:49 AM,Trout Bog,,722.9,17.5,20.7,0.01,21,13,62.5,-1.2,-1.2,76.6,7.41,80.5,0.14,0,4.21,123.2,266.9,0.002,0.273,0.273
6/1/2021,9:51:51 AM,Trout Bog,,722.9,17.6,20.8,0.01,21.1,14,62.4,-1.2,-1.2,76.5,7.4,80.4,-0.1,0,4.21,123.3,267.2,0.003,0.274,0.273
6/1/2021,9:51:53 AM,Trout Bog,,723,17.6,20.8,0.01,21.1,14,62.3,-1.2,-1.2,76.3,7.4,80.2,-0.1,0,4.21,123.3,267.5,0.002,0.273,0.274
6/1/2021,9:51:55 AM,Trout Bog,,722.9,17.6,20.9,0.01,21.1,14,62.2,-1.2,-1.2,76.2,7.39,80.1,-0.09,0,4.21,123.3,267.7,0.004,0.275,0.275
6/1/2021,9:51:57 AM,Trout Bog,,722.9,17.6,20.9,0.01,21.2,14,62,-1.2,-1.2,76,7.39,79.9,-0.09,0,4.21,123.3,268,0.002,0.274,0.274
6/1/2021,9:51:59 AM,Trout Bog,,723,17.5,20.9,0.01,21.2,14,61.8,-1.1,-1.1,75.7,7.38,79.5,-0.1,0,4.21,123.3,268.4,0.004,0.275,0.274
6/1/2021,9:52:01 AM,Trout Bog,,722.8,17.5,21,0.01,21.3,14,61.4,-1.1,-1.1,75.2,7.36,79.1,-0.1,0,4.21,123.3,268.9,0.005,0.276,0.275
6/1/2021,9:52:03 AM,Trout Bog,,723,17.5,21,0.01,21.3,14,61.1,-1.1,-1.1,74.8,7.36,78.7,-0.09,0,4.2,123.3,269.4,0.004,0.275,0.273
6/1/2021,9:52:05 AM,Trout Bog,,723,17.5,21.1,0.01,21.4,14,60.7,-1,-1,74.5,7.35,78.3,-0.08,0,4.2,123.3,270,0.002,0.274,0.287
6/1/2021,9:52:07 AM,Trout Bog,,723,17.4,21.1,0.01,21.5,14,60.3,-1,-1,74,7.34,77.8,-0.09,0,4.2,123.3,270.8,0.008,0.278,0.345
6/1/2021,9:52:09 AM,Trout Bog,,722.9,17.3,21.2,0.01,21.5,14,59.9,-1,-1,73.6,7.34,77.4,-0.11,0,4.2,123.4,271.6,0.015,0.283,0.388
6/1/2021,9:52:11 AM,Trout Bog,,722.9,17.3,21.2,0.01,21.5,14,59.5,-0.9,-0.9,73.3,7.33,77,-0.12,0,4.19,123.3,272.3,0.024,0.289,0.407
6/1/2021,9:52:13 AM,Trout Bog,,722.8,17.2,21.2,0.01,21.6,14,59.2,-0.9,-0.9,73,7.34,76.8,-0.12,0,4.19,123.3,273.2,0.036,0.297,0.423
6/1/2021,9:52:15 AM,Trout Bog,,723,17.2,21.2,0.01,21.6,14,59,-0.9,-0.9,72.9,7.34,76.6,-0.11,0,4.19,123.3,274.2,0.05,0.307,0.446
6/1/2021,9:52:17 AM,Trout Bog,,722.9,17.1,21.2,0.01,21.6,14,58.9,-0.9,-0.9,72.9,7.35,76.6,-0.1,0,4.19,123.3,275.1,0.062,0.316,0.464
6/1/2021,9:52:19 AM,Trout Bog,,722.8,17.1,21.2,0.01,21.5,14,58.8,-0.9,-0.9,72.9,7.37,76.6,-0.1,0,4.19,123.3,276.3,0.078,0.327,0.48
6/1/2021,9:52:21 AM,Trout Bog,,722.9,17.1,21.2,0.01,21.5,14,58.7,-0.9,-0.9,72.9,7.38,76.6,-0.1,0,4.19,123.3,277.4,0.092,0.337,0.493
6/1/2021,9:52:23 AM,Trout Bog,,722.9,17.1,21.2,0.01,21.5,14,58.6,-0.9,-0.9,72.9,7.39,76.7,-0.1,0,4.19,123.4,278.6,0.114,0.352,0.518
6/1/2021,9:52:25 AM,Trout Bog,,722.8,17.1,21.2,0.01,21.5,14,58.6,-0.9,-0.9,72.9,7.39,76.7,-0.09,0,4.19,123.4,279.6,0.131,0.364,0.54
6/1/2021,9:52:27 AM,Trout Bog,,722.9,17,21.2,0.01,21.5,14,58.5,-0.9,-0.9,72.9,7.39,76.7,-0.1,0,4.19,123.4,280.7,0.155,0.381,0.567
6/1/2021,9:52:29 AM,Trout Bog,,722.9,17,21.2,0.01,21.5,14,58.5,-0.8,-0.8,72.9,7.4,76.6,-0.11,0,4.19,123.4,281.8,0.174,0.394,0.602
6/1/2021,9:52:31 AM,Trout Bog,,722.9,17,21.2,0.01,21.5,14,58.4,-0.8,-0.8,72.8,7.39,76.5,-0.1,0,4.18,123.5,282.9,0.208,0.419,0.649
6/1/2021,9:52:33 AM,Trout Bog,,722.9,17,21.2,0.01,21.5,14,58.3,-0.8,-0.8,72.7,7.39,76.4,-0.1,0,4.18,123.5,284.1,0.233,0.436,0.697
6/1/2021,9:52:35 AM,Trout Bog,,723,17,21.2,0.01,21.5,14,58.2,-0.8,-0.8,72.5,7.38,76.2,-0.11,0,4.18,123.6,284.8,0.265,0.459,0.729
6/1/2021,9:52:37 AM,Trout Bog,,722.9,17,21.2,0.01,21.6,14,58.1,-0.8,-0.8,72.2,7.35,75.9,-0.1,0,4.18,123.7,285.8,0.3,0.483,0.759
6/1/2021,9:52:39 AM,Trout Bog,,722.8,17,21.3,0.01,21.6,14,58,-0.8,-0.8,71.7,7.32,75.4,-0.1,0,4.18,123.8,286.7,0.339,0.511,0.781
6/1/2021,9:52:41 AM,Trout Bog,,722.9,17,21.3,0.01,21.6,14,57.8,-0.8,-0.8,71.1,7.26,74.7,-0.12,0,4.18,123.8,287.8,0.384,0.543,0.797
6/1/2021,9:52:43 AM,Trout Bog,,722.9,17,21.4,0.01,21.7,14,57.7,-0.8,-0.8,70.5,7.21,74.1,-0.11,0,4.17,123.9,288.6,0.42,0.568,0.819
