DATE,TIME,SITE,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
7/8/2019,4:15:31 PM,Trout Bog,,720,20.2,18.2,0.01,18,12,87.5,-4.6,-4.6,91.4,6.81,96.5,-1.57,0,5.18,76.6,224.7,0.003,0.274,0.274
7/8/2019,4:15:33 PM,Trout Bog,,719.9,20.3,18.2,0.01,18,12,87.7,-4.6,-4.6,91.6,6.82,96.7,-1.58,0,5.04,84.8,225.6,0.004,0.275,0.274
7/8/2019,4:15:35 PM,Trout Bog,,719.9,20.3,18.2,0.01,18,12,87.6,-4.6,-4.6,84.6,6.3,89.3,-1.58,0,5.06,83.8,226.5,0.004,0.275,0.274
7/8/2019,4:15:37 PM,Trout Bog,,719.8,20.3,19.4,0.01,19.3,13,81.1,-3.6,-3.6,89,7.04,93.9,-1.6,0,5.05,83,227.3,0.006,0.276,0.288
7/8/2019,4:15:39 PM,Trout Bog,,719.9,20.2,19.6,0.01,19.5,13,79.8,-3.4,-3.4,86.6,6.95,91.4,-1.63,0,5.05,82.4,228,0.009,0.278,0.353
7/8/2019,4:15:41 PM,Trout Bog,,720,20,19.6,0.01,19.5,13,79.1,-3.3,-3.3,84.9,6.85,89.6,-1.65,0,5.05,82.1,228.6,0.017,0.284,0.419
7/8/2019,4:15:43 PM,Trout Bog,,719.9,19.8,19.9,0.01,19.9,13,76.2,-2.8,-2.8,83.9,6.99,88.6,-1.68,0,5.05,81.9,229.4,0.031,0.294,0.467
7/8/2019,4:15:45 PM,Trout Bog,,720,19.5,19.8,0.01,19.8,13,75.6,-2.7,-2.7,83.5,7.01,88.1,-1.73,0,5.05,81.7,230.7,0.046,0.305,0.5
7/8/2019,4:15:47 PM,Trout Bog,,720,19.2,19.4,0.01,19.5,13,75.9,-2.8,-2.8,83.3,6.98,87.9,-1.75,0,5.05,81.7,231.9,0.062,0.316,0.495
7/8/2019,4:15:49 PM,Trout Bog,,720,18.9,19.1,0.01,19.2,12,75.9,-2.8,-2.8,83,6.94,87.6,-1.8,0,5.05,81.7,233,0.08,0.329,0.514
7/8/2019,4:15:51 PM,Trout Bog,,720.1,18.7,18.9,0.01,19,12,75.6,-2.8,-2.8,82.7,6.93,87.3,-1.82,0,5.05,81.8,234.1,0.097,0.34,0.533
7/8/2019,4:15:53 PM,Trout Bog,,720,18.5,18.8,0.01,18.8,12,75.4,-2.7,-2.7,82,6.89,86.6,-1.82,0,5.04,81.9,235.3,0.12,0.356,0.549
7/8/2019,4:15:55 PM,Trout Bog,,720,18.4,18.7,0.01,18.8,12,75.3,-2.7,-2.7,81.5,6.86,86.1,-1.82,0,5.04,82,236.2,0.14,0.371,0.58
7/8/2019,4:15:57 PM,Trout Bog,,720,18.3,18.7,0.01,18.7,12,75.1,-2.7,-2.7,81,6.82,85.5,-1.82,0,5.04,82.1,237,0.167,0.39,0.634
7/8/2019,4:15:59 PM,Trout Bog,,719.8,18.3,18.7,0.01,18.7,12,75,-2.7,-2.7,80.4,6.78,84.9,-1.81,0,5.04,82.3,237.8,0.198,0.412,0.676
7/8/2019,4:16:01 PM,Trout Bog,,719.8,18.2,18.7,0.01,18.8,12,74.6,-2.6,-2.6,79.8,6.75,84.3,-1.8,0,5.03,82.5,238.7,0.232,0.436,0.716
7/8/2019,4:16:03 PM,Trout Bog,,720,18.3,19.2,0.01,19.3,12,72.4,-2.3,-2.3,75,6.37,79.1,-1.72,0,5.03,82.8,239.6,0.263,0.457,0.759
7/8/2019,4:16:05 PM,Trout Bog,,719.9,18.4,19.6,0.01,19.7,13,71.6,-2.2,-2.2,69.7,6.06,73.5,-1.64,0,5.01,83.2,240.6,0.305,0.487,0.81
7/8/2019,4:16:07 PM,Trout Bog,,719.9,18.7,19.9,0.01,20,13,71.1,-2.2,-2.2,65.5,5.75,69.2,-1.6,0,5,83.8,241.6,0.346,0.515,0.84
7/8/2019,4:16:09 PM,Trout Bog,,719.8,19,20.3,0.01,20.4,13,70.8,-2.1,-2.1,57,5.03,60.2,-1.53,0,4.98,84.3,242.8,0.393,0.549,0.866
7/8/2019,4:16:11 PM,Trout Bog,,719.9,19.3,20.7,0.01,20.9,13,70.4,-2.1,-2.1,52.7,4.67,55.7,-1.45,0,4.97,84.9,244,0.435,0.579,0.88
7/8/2019,4:16:13 PM,Trout Bog,,719.9,19.7,21.3,0.01,21.4,14,70.1,-2,-2,50.6,4.5,53.5,-1.38,0,4.96,85.5,245.3,0.481,0.611,0.935
7/8/2019,4:16:15 PM,Trout Bog,,720.1,20.2,22.4,0.01,22.6,15,67.8,-1.8,-1.8,44,4.01,46.5,-1.31,0,4.94,86.2,246.8,0.531,0.646,0.963
7/8/2019,4:16:17 PM,Trout Bog,,720,20.7,23,0.01,23.2,15,67.6,-1.7,-1.7,41.4,3.77,43.6,-1.29,0,4.93,86.9,248.2,0.577,0.679,0.965
7/8/2019,4:16:19 PM,Trout Bog,,720,21.1,23.5,0.01,23.7,15,67.5,-1.7,-1.7,39.4,3.61,41.6,-1.29,0,4.91,87.6,249.7,0.621,0.71,0.963
7/8/2019,4:16:21 PM,Trout Bog,,719.9,21.5,24,0.01,24.2,16,67.4,-1.7,-1.7,34.7,3.18,36.6,-1.28,0,4.9,88.3,251.1,0.659,0.736,0.964
7/8/2019,4:16:23 PM,Trout Bog,,720,22,24.5,0.01,24.7,16,67.3,-1.7,-1.7,32.4,2.97,34.2,-1.27,0,4.89,89,252.5,0.696,0.762,0.988
7/8/2019,4:16:25 PM,Trout Bog,,719.9,22.4,25.1,0.01,25.3,16,67.1,-1.7,-1.7,31,2.84,32.7,-1.25,0,4.87,89.8,253.9,0.734,0.789,1.009
7/8/2019,4:16:27 PM,Trout Bog,,720,22.7,25.4,0.01,25.7,17,66.8,-1.7,-1.7,29.7,2.74,31.4,-1.27,0,4.86,90.5,255.2,0.773,0.816,1.018
7/8/2019,4:16:29 PM,Trout Bog,,719.9,22.9,25.7,0.01,26,17,66.6,-1.6,-1.6,25.5,2.36,27,-1.27,0,4.85,91.1,256.5,0.811,0.843,1.053
7/8/2019,4:16:31 PM,Trout Bog,,719.9,23.2,26.9,0.01,27.2,17,63.9,-1.3,-1.3,23.3,2.21,24.6,-1.18,0,4.83,91.7,257.8,0.853,0.872,1.106
7/8/2019,4:16:33 PM,Trout Bog,,719.9,23.4,27.4,0.01,27.8,18,63.2,-1.3,-1.3,21.9,2.1,23.1,-1,0,4.81,92.3,259.1,0.893,0.901,1.142
7/8/2019,4:16:35 PM,Trout Bog,,720,23.6,27.7,0.01,28.1,18,63.2,-1.3,-1.3,20.5,1.97,21.6,-0.86,0,4.81,92.8,260.5,0.934,0.929,1.162
7/8/2019,4:16:37 PM,Trout Bog,,719.9,23.8,28,0.01,28.3,18,63,-1.3,-1.2,19.4,1.86,20.5,-0.75,0,4.8,93.2,261.7,0.971,0.956,1.172
7/8/2019,4:16:39 PM,Trout Bog,,720,24,28.3,0.01,28.6,18,62.8,-1.2,-1.2,14.9,1.43,15.7,-0.68,0,4.79,93.6,262.8,1.005,0.979,1.234
7/8/2019,4:16:41 PM,Trout Bog,,719.9,24.2,29.4,0.01,29.8,19,60.5,-1,-1,13.5,1.34,14.3,-0.63,0,4.77,94,264,1.046,1.009,1.266
7/8/2019,4:16:43 PM,Trout Bog,,719.8,24.4,29.8,0.01,30.3,19,59.8,-1,-1,12.7,1.27,13.4,-0.6,0,4.76,94.3,265.2,1.082,1.034,1.283
7/8/2019,4:16:45 PM,Trout Bog,,720,24.5,30.2,0.01,30.7,20,59.3,-0.9,-0.9,12,1.21,12.7,-0.61,0,4.76,94.6,266.4,1.117,1.058,1.315
7/8/2019,4:16:47 PM,Trout Bog,,720,24.7,30.4,0.01,30.8,20,59.4,-0.9,-0.9,11.5,1.15,12.1,-0.76,0,4.75,94.9,267.5,1.151,1.082,1.331
7/8/2019,4:16:49 PM,Trout Bog,,719.9,24.8,30.7,0.01,31.1,20,59,-0.9,-0.9,11,1.11,11.6,-0.91,0,4.75,95.2,268.7,1.189,1.109,1.359
7/8/2019,4:16:51 PM,Trout Bog,,719.8,24.9,30.9,0.01,31.4,20,58.7,-0.9,-0.9,10.6,1.07,11.1,-1.02,0,4.74,95.4,269.9,1.223,1.133,1.366
7/8/2019,4:16:53 PM,Trout Bog,,720,25,31.1,0.01,31.6,20,58.5,-0.8,-0.8,10.2,1.03,10.7,-1.1,0,4.73,95.8,271,1.253,1.153,1.369
7/8/2019,4:16:55 PM,Trout Bog,,719.9,25.1,31.2,0.01,31.7,20,58.4,-0.8,-0.8,9.7,0.99,10.2,-1.15,0,4.72,96.2,272.2,1.284,1.175,1.395
7/8/2019,4:16:57 PM,Trout Bog,,719.9,25.1,31.4,0.01,31.9,20,58.2,-0.8,-0.8,9,0.91,9.5,-1.17,0,4.72,96.6,273.2,1.321,1.201,1.429
7/8/2019,4:16:59 PM,Trout Bog,,720,25.2,31.6,0.01,32.1,21,57.9,-0.8,-0.8,8.4,0.85,8.8,-1.16,0,4.71,96.9,274.2,1.354,1.225,1.468
7/8/2019,4:17:01 PM,Trout Bog,,719.9,25.1,31.7,0.01,32.2,21,57.5,-0.8,-0.8,7.8,0.8,8.2,-1.09,0,4.7,97.2,275.2,1.398,1.256,1.559
7/8/2019,4:17:03 PM,Trout Bog,,720,24.9,33.3,0.01,33.9,22,53.3,-0.5,-0.5,7.3,0.79,7.7,-1.07,0,4.68,97.3,275.8,1.441,1.285,1.637
7/8/2019,4:17:05 PM,Trout Bog,,719.9,24.8,33.1,0.01,33.7,22,53.1,-0.5,-0.5,6.9,0.75,7.3,-1.05,0,4.68,97.3,276,1.492,1.322,1.634
7/8/2019,4:17:07 PM,Trout Bog,,719.9,24.4,32.6,0.01,33.1,21,53.3,-0.5,-0.5,6.5,0.7,6.9,-1.01,0,4.68,97.3,275.8,1.536,1.352,1.685
7/8/2019,4:17:09 PM,Trout Bog,,719.9,23.8,33.1,0.01,33.7,22,50.5,-0.3,-0.3,6.1,0.68,6.4,-0.98,0,4.67,97.2,275.3,1.589,1.39,1.81
7/8/2019,4:17:11 PM,Trout Bog,,719.9,23.2,32.7,0.01,33.3,21,49.5,-0.3,-0.3,5.7,0.64,6,-0.94,0,4.67,96.9,274.3,1.64,1.426,1.874
7/8/2019,4:17:13 PM,Trout Bog,,719.9,22.3,31.8,0.01,32.3,21,49,-0.2,-0.2,5.3,0.6,5.6,-0.89,0,4.68,96.4,258.6,1.7,1.467,1.905
7/8/2019,4:17:15 PM,Trout Bog,,720,21.5,30.7,0.01,31.3,20,48.8,-0.2,-0.2,4.9,0.57,5.2,-0.94,0,4.78,90.6,256.5,1.754,1.505,1.961
7/8/2019,4:17:17 PM,Trout Bog,,719.9,20.7,29.6,0.01,30.2,19,48.5,-0.2,-0.2,4.6,0.53,4.9,-0.93,0,4.79,90,255.1,1.812,1.547,2.026
7/8/2019,4:17:19 PM,Trout Bog,,719.8,19.8,28.4,0.01,29,18,48.2,-0.2,-0.2,4.3,0.5,4.6,-0.92,0,4.79,89.9,253.8,1.88,1.594,2.138
7/8/2019,4:17:21 PM,Trout Bog,,720,19,27.5,0.01,28,18,47.9,-0.2,-0.2,4.1,0.48,4.3,-0.89,0,4.8,89.5,252.5,1.941,1.637,2.166
7/8/2019,4:17:23 PM,Trout Bog,,719.8,18.4,27.7,0.01,28.2,18,45.4,-0.1,-0.1,3.9,0.47,4.1,-0.87,0,4.8,89,251.3,2.013,1.687,2.204
7/8/2019,4:17:25 PM,Trout Bog,,720,17.8,27.1,0.01,27.5,18,44.9,-0.1,-0.1,3.7,0.45,3.9,-0.86,0,4.8,88.5,250,2.077,1.732,2.276
