Date,Time,Site,DATA ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp (°F),Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
8/5/2019,8:16:41 AM,Trout Bog,,717.1,18.5,18.5,0.01,18.5,12,76.9,-2.9,-2.9,91.5,7.57,0.21,0,5.01,84.4,278.7,-0.001,0.272,0.27,
8/5/2019,8:16:43 AM,Trout Bog,,717.1,18.5,18.5,0.01,18.5,12,76.9,-2.9,-2.9,91.4,7.57,0.2,0,5,84.6,279,-0.001,0.272,0.269,
8/5/2019,8:16:45 AM,Trout Bog,,717.1,18.5,18.5,0.01,18.5,12,76.9,-2.9,-2.9,91.4,7.56,0.2,0,4.9,90.3,280,0,0.272,0.271,
8/5/2019,8:16:47 AM,Trout Bog,,717.1,18.5,18.5,0.01,18.5,12,76.9,-2.9,-2.9,91.3,7.55,0.21,0,4.92,89.1,280.9,0,0.272,0.27,
8/5/2019,8:16:49 AM,Trout Bog,,717.1,18.5,18.6,0.01,18.6,12,76.9,-2.9,-2.9,91.2,7.55,0.22,0,4.93,88.8,281.9,0,0.272,0.273,
8/5/2019,8:16:51 AM,Trout Bog,,717.1,18.6,18.6,0.01,18.6,12,76.9,-2.9,-2.9,91.2,7.54,0.23,0,4.93,88.6,282.8,0,0.272,0.272,
8/5/2019,8:16:53 AM,Trout Bog,,717.1,18.6,18.6,0.01,18.6,12,76.9,-2.9,-2.9,91.1,7.54,0.23,0,4.93,88.7,283.6,0,0.272,0.274,
8/5/2019,8:16:55 AM,Trout Bog,,717.1,18.6,18.6,0.01,18.6,12,76.9,-2.9,-2.9,91.1,7.54,0.27,0,4.93,88.7,284.5,-0.001,0.271,0.272,
8/5/2019,8:16:57 AM,Trout Bog,,717.1,18.6,18.6,0.01,18.6,12,76.8,-2.9,-2.9,91,7.53,0.29,0,4.93,88.7,285.3,0,0.272,0.275,
8/5/2019,8:16:59 AM,Trout Bog,,717.1,18.6,18.6,0.01,18.6,12,76.8,-2.9,-2.9,90.9,7.53,0.32,0,4.93,88.7,286.1,0,0.272,0.271,
8/5/2019,8:17:01 AM,Trout Bog,,717.1,18.6,18.7,0.01,18.7,12,76.7,-2.9,-2.9,90.8,7.53,0.33,0,4.93,88.8,287,-0.001,0.271,0.273,
8/5/2019,8:17:03 AM,Trout Bog,,717.1,18.6,18.7,0.01,18.7,12,76.7,-2.9,-2.9,90.8,7.53,0.33,0,4.93,88.8,287.8,0.001,0.273,0.295,
8/5/2019,8:17:05 AM,Trout Bog,,717.1,18.6,18.7,0.01,18.7,12,76.7,-2.9,-2.9,90.7,7.52,0.37,0,4.93,88.8,288.7,0.004,0.275,0.321,
8/5/2019,8:17:07 AM,Trout Bog,,717.1,18.6,18.7,0.01,18.7,12,76.6,-2.9,-2.9,90.7,7.52,0.4,0,4.93,88.8,289,0.008,0.278,0.332,
8/5/2019,8:17:09 AM,Trout Bog,,717.1,18.6,18.7,0.01,18.7,12,76.6,-2.9,-2.9,90.7,7.53,0.39,0,4.93,88.8,289.5,0.014,0.282,0.352,
8/5/2019,8:17:11 AM,Trout Bog,,717.1,18.6,18.7,0.01,18.7,12,76.6,-2.9,-2.9,90.7,7.53,0.39,0,4.93,88.9,290.1,0.02,0.286,0.358,
8/5/2019,8:17:13 AM,Trout Bog,,717.1,18.6,18.7,0.01,18.7,12,76.6,-2.9,-2.9,90.8,7.53,0.38,0,4.93,88.9,290.8,0.028,0.292,0.365,
8/5/2019,8:17:15 AM,Trout Bog,,717.1,18.6,18.7,0.01,18.7,12,76.7,-2.9,-2.9,90.8,7.53,0.37,0,4.93,89,291.5,0.035,0.297,0.379,
8/5/2019,8:17:17 AM,Trout Bog,,717.1,18.7,18.7,0.01,18.7,12,76.7,-2.9,-2.9,90.9,7.53,0.37,0,4.93,89,292.1,0.046,0.304,0.414,
8/5/2019,8:17:19 AM,Trout Bog,,717.1,18.7,18.7,0.01,18.7,12,76.7,-2.9,-2.9,90.9,7.53,0.36,0,4.92,89.1,292.7,0.057,0.312,0.439,
8/5/2019,8:17:21 AM,Trout Bog,,717.1,18.7,18.7,0.01,18.7,12,76.7,-2.9,-2.9,90.8,7.53,0.34,0,4.92,89.1,293.3,0.07,0.321,0.457,
8/5/2019,8:17:23 AM,Trout Bog,,717.1,18.7,18.7,0.01,18.7,12,76.6,-2.9,-2.9,90.8,7.53,0.36,0,4.92,89.2,294,0.085,0.332,0.482,
8/5/2019,8:17:25 AM,Trout Bog,,717.1,18.7,18.8,0.01,18.8,12,76.6,-2.9,-2.9,90.6,7.52,0.33,0,4.92,89.2,294.6,0.103,0.344,0.508,
8/5/2019,8:17:27 AM,Trout Bog,,717.1,18.7,18.8,0.01,18.8,12,76.5,-2.9,-2.9,90.5,7.52,0.34,0,4.92,89.3,295.3,0.121,0.357,0.527,
8/5/2019,8:17:29 AM,Trout Bog,,717.1,18.7,18.8,0.01,18.8,12,76.4,-2.9,-2.9,90.4,7.52,0.34,0,4.92,89.3,295.9,0.143,0.373,0.542,
8/5/2019,8:17:31 AM,Trout Bog,,717.1,18.7,18.8,0.01,18.8,12,76.2,-2.8,-2.8,90.3,7.52,0.34,0,4.92,89.3,296.5,0.165,0.388,0.555,
8/5/2019,8:17:33 AM,Trout Bog,,717.1,18.6,18.8,0.01,18.8,12,76.1,-2.8,-2.8,90.3,7.52,0.33,0,4.92,89.2,297.1,0.184,0.402,0.57,
8/5/2019,8:17:35 AM,Trout Bog,,717.1,18.6,18.8,0.01,18.8,12,76,-2.8,-2.8,90.2,7.53,0.33,0,4.92,89.1,297.7,0.21,0.42,0.591,
8/5/2019,8:17:37 AM,Trout Bog,,717.1,18.6,18.8,0.01,18.8,12,75.8,-2.8,-2.8,90.2,7.54,0.31,0,4.92,89,298.3,0.232,0.435,0.62,
