DATE,TIME,SITE,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
9/14/2019,2:10:59 PM,Trout Bog,,721,16,18,0.01,18.2,12,66.5,-1.6,-1.6,91,8.41,95.9,0.59,0,4,85.5,285,0.007,0.277,0.275
9/14/2019,2:11:01 PM,Trout Bog,,721.1,17.6,19.8,0.01,20,13,66.5,-1.6,-1.6,90.9,8.41,95.8,0.61,0,4.01,85.3,285.2,0.007,0.277,0.275
9/14/2019,2:11:03 PM,Trout Bog,,721,17.6,19.9,0.01,20.1,13,66.4,-1.6,-1.6,90.9,8.41,95.8,0.59,0,4.01,85.3,285.7,0.007,0.277,0.275
9/14/2019,2:11:05 PM,Trout Bog,,721,17.6,19.9,0.01,20.1,13,66.3,-1.6,-1.6,90.8,8.41,95.7,0.6,0,4,85.6,286.5,0.005,0.276,0.275
9/14/2019,2:11:07 PM,Trout Bog,,721,17.6,19.9,0.01,20.1,13,66.2,-1.6,-1.6,90.7,8.41,95.6,0.61,0,4,85.5,287.1,0.007,0.277,0.273
9/14/2019,2:11:09 PM,Trout Bog,,721,17.6,19.9,0.01,20.1,13,66.1,-1.6,-1.6,90.7,8.43,95.6,0.61,0,4.01,85.3,287.3,0.006,0.277,0.274
9/14/2019,2:11:11 PM,Trout Bog,,721,17.6,19.9,0.01,20.2,13,65.9,-1.6,-1.6,90.7,8.44,95.6,0.64,0,4.01,85.1,287.4,0.005,0.275,0.273
9/14/2019,2:11:13 PM,Trout Bog,,721.1,17.6,20,0.01,20.2,13,65.8,-1.5,-1.5,90.7,8.45,95.5,0.64,0,4.01,84.8,287.6,0.006,0.276,0.275
9/14/2019,2:11:15 PM,Trout Bog,,721.1,17.6,20,0.01,20.2,13,65.6,-1.5,-1.5,90.6,8.46,95.5,0.68,0,4.02,84.5,287.8,0.005,0.275,0.273
9/14/2019,2:11:17 PM,Trout Bog,,721.1,17.6,20,0.01,20.2,13,65.5,-1.5,-1.5,90.7,8.48,95.6,0.7,0,4.03,84,287.8,0.005,0.275,0.275
9/14/2019,2:11:19 PM,Trout Bog,,721.1,17.6,20,0.01,20.2,13,65.4,-1.5,-1.5,91,8.51,95.9,0.71,0,4.03,83.6,287.9,0.006,0.276,0.274
9/14/2019,2:11:21 PM,Trout Bog,,721,17.5,20,0.01,20.2,13,65.5,-1.5,-1.5,91.2,8.53,96.1,0.71,0,4.04,83.3,288.1,0.005,0.276,0.274
9/14/2019,2:11:23 PM,Trout Bog,,721,17.5,19.9,0.01,20.2,13,65.5,-1.5,-1.5,91.1,8.52,96,0.7,0,4.05,83,288.3,0.008,0.278,0.276
9/14/2019,2:11:25 PM,Trout Bog,,721,17.5,19.9,0.01,20.1,13,65.5,-1.5,-1.5,91,8.51,95.9,0.7,0,4.05,82.6,288.5,0.007,0.277,0.274
9/14/2019,2:11:27 PM,Trout Bog,,721,17.4,19.9,0.01,20.1,13,65.4,-1.5,-1.5,90.8,8.49,95.7,0.73,0,4.06,82,288.3,0.008,0.278,0.276
9/14/2019,2:11:29 PM,Trout Bog,,721,17.4,19.9,0.01,20.1,13,65.4,-1.5,-1.5,90.7,8.49,95.6,0.73,0,4.07,81.5,288.4,0.008,0.278,0.275
9/14/2019,2:11:31 PM,Trout Bog,,721,17.4,19.9,0.01,20.1,13,65.3,-1.5,-1.5,90.3,8.46,95.2,0.75,0,4.08,81.2,288.6,0.008,0.278,0.276
9/14/2019,2:11:33 PM,Trout Bog,,721,17.4,19.9,0.01,20.1,13,65.1,-1.5,-1.5,89.8,8.43,94.6,0.75,0,4.08,80.7,288.9,0.006,0.277,0.273
9/14/2019,2:11:35 PM,Trout Bog,,721.1,17.4,20.4,0.01,20.7,13,62.8,-1.2,-1.2,89.2,8.59,94,0.77,0,4.19,74.4,289.3,0.007,0.277,0.287
9/14/2019,2:11:37 PM,Trout Bog,,721.1,17.4,20.4,0.01,20.7,13,62.9,-1.2,-1.2,89,8.53,93.8,0.78,0,4.21,73.4,289.8,0.007,0.277,0.299
9/14/2019,2:11:39 PM,Trout Bog,,721.1,17.3,20.4,0.01,20.7,13,62.9,-1.2,-1.2,88.9,8.57,93.7,0.75,0,4.21,73.2,290.3,0.012,0.28,0.325
9/14/2019,2:11:41 PM,Trout Bog,,721,17.3,20.3,0.01,20.6,13,63,-1.3,-1.3,88.9,8.55,93.7,0.76,0,4.21,73.1,290.8,0.016,0.283,0.335
9/14/2019,2:11:43 PM,Trout Bog,,721,17.3,20.3,0.01,20.6,13,63,-1.3,-1.3,88.7,8.53,93.5,0.73,0,4.22,72.9,291.4,0.021,0.287,0.348
9/14/2019,2:11:45 PM,Trout Bog,,721.1,17.3,20.3,0.01,20.5,13,63,-1.3,-1.3,88.7,8.53,93.4,0.75,0,4.22,72.5,291.9,0.027,0.291,0.362
9/14/2019,2:11:47 PM,Trout Bog,,721.1,17.2,20.3,0.01,20.5,13,62.8,-1.2,-1.2,88.8,8.56,93.6,0.75,0,4.23,72,292.4,0.034,0.296,0.372
9/14/2019,2:11:49 PM,Trout Bog,,721,17.1,20.2,0.01,20.5,13,62.7,-1.2,-1.2,88.9,8.58,93.7,0.76,0,4.24,71.6,293,0.043,0.303,0.382
9/14/2019,2:11:51 PM,Trout Bog,,721,17.1,20.2,0.01,20.5,13,62.5,-1.2,-1.2,88.8,8.59,93.6,0.78,0,4.24,71.2,293.4,0.051,0.308,0.389
9/14/2019,2:11:53 PM,Trout Bog,,721,17,20.2,0.01,20.5,13,62.2,-1.2,-1.2,88.6,8.59,93.3,0.81,0,4.25,70.9,293.8,0.059,0.314,0.401
9/14/2019,2:11:55 PM,Trout Bog,,721,16.9,20.2,0.01,20.5,13,61.9,-1.1,-1.1,88.3,8.61,93.1,0.82,0,4.25,70.5,294.2,0.067,0.32,0.406
9/14/2019,2:11:57 PM,Trout Bog,,721.1,16.9,20.2,0.01,20.4,13,61.6,-1.1,-1.1,88.3,8.63,93.1,0.85,0,4.26,70.2,294.6,0.078,0.327,0.41
9/14/2019,2:11:59 PM,Trout Bog,,721,16.8,20.2,0.01,20.4,13,61.3,-1.1,-1.1,88.2,8.65,93,0.86,0,4.26,69.9,295,0.091,0.336,0.41
9/14/2019,2:12:01 PM,Trout Bog,,721.1,16.7,20.1,0.01,20.4,13,61.2,-1.1,-1.1,88.1,8.66,92.9,0.87,0,4.27,69.5,295.4,0.099,0.342,0.42
9/14/2019,2:12:03 PM,Trout Bog,,721.2,16.7,20.1,0.01,20.4,13,61,-1.1,-1.1,88,8.66,92.8,0.89,0,4.28,68.9,295.8,0.111,0.35,0.426
9/14/2019,2:12:05 PM,Trout Bog,,721,16.7,20.1,0.01,20.4,13,60.9,-1.1,-1.1,87.9,8.67,92.7,0.87,0,4.29,68.3,296.3,0.122,0.358,0.437
9/14/2019,2:12:07 PM,Trout Bog,,721.1,16.6,20.1,0.01,20.4,13,60.7,-1,-1,87.8,8.66,92.5,0.88,0,4.3,67.9,296.7,0.136,0.368,0.445
9/14/2019,2:12:09 PM,Trout Bog,,721.1,16.6,20.1,0.01,20.4,13,60.6,-1,-1,87.6,8.66,92.3,0.87,0,4.3,67.5,297.2,0.152,0.379,0.465
9/14/2019,2:12:11 PM,Trout Bog,,721,16.6,20.1,0.01,20.4,13,60.5,-1,-1,87.3,8.65,92.1,0.86,0,4.31,67.2,297.7,0.165,0.388,0.489
9/14/2019,2:12:13 PM,Trout Bog,,721,16.5,20.1,0.01,20.4,13,60.3,-1,-1,87.1,8.64,91.8,0.84,0,4.31,66.8,298.2,0.181,0.399,0.51
