Date,Time,Site,DATA ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp (°F),Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
8/19/2019,8:57:05 AM,Trout Bog,,719.2,16.9,18.7,0.01,18.9,12,67.7,-1.7,-1.7,80.2,7.32,84.8,0.29,0,6.39,3.6,235.4,-0.002,0.271,0.327
8/19/2019,8:57:07 AM,Trout Bog,,719.1,16.9,18.7,0.01,18.9,12,67.7,-1.7,-1.7,79.7,7.27,84.2,0.28,0,6.2,14.5,251.1,-0.001,0.271,0.329
8/19/2019,8:57:09 AM,Trout Bog,,719.1,16.9,18.7,0.01,18.9,12,67.7,-1.7,-1.7,79.3,7.24,83.8,0.28,0,6.12,19.3,253.5,-0.001,0.271,0.33
8/19/2019,8:57:11 AM,Trout Bog,,719.2,16.9,18.8,0.01,19,12,67.7,-1.7,-1.7,79,7.21,83.5,0.27,0,6.07,21.9,256.2,-0.004,0.269,0.33
8/19/2019,8:57:13 AM,Trout Bog,,719.1,17,18.8,0.01,19,12,67.7,-1.7,-1.7,78.7,7.18,83.1,0.26,0,5.88,33,259,-0.001,0.271,0.328
8/19/2019,8:57:15 AM,Trout Bog,,719.2,17,18.9,0.01,19.1,12,67.7,-1.7,-1.7,78.4,7.15,82.8,0.26,0,5.79,38.1,260.3,-0.002,0.271,0.328
8/19/2019,8:57:17 AM,Trout Bog,,719.1,17.1,18.9,0.01,19.1,12,67.7,-1.7,-1.7,78.1,7.12,82.5,0.25,0,5.75,39.9,261.5,-0.001,0.272,0.328
8/19/2019,8:57:19 AM,Trout Bog,,719.2,17.1,19,0.01,19.1,12,67.7,-1.7,-1.7,77.8,7.1,82.2,0.25,0,5.71,42.5,262.7,-0.002,0.271,0.328
8/19/2019,8:57:21 AM,Trout Bog,,719.1,17.1,19,0.01,19.2,12,67.7,-1.7,-1.7,77.5,7.07,81.9,0.25,0,5.56,50.7,263.9,0,0.272,0.332
8/19/2019,8:57:23 AM,Trout Bog,,719.2,17.1,19,0.01,19.2,12,67.7,-1.7,-1.7,77.3,7.05,81.7,0.27,0,5.52,53.2,265.1,-0.002,0.271,0.328
8/19/2019,8:57:25 AM,Trout Bog,,719.2,17.2,19.1,0.01,19.2,12,67.6,-1.7,-1.7,77.1,7.04,81.5,0.3,0,5.5,54.3,266.1,-0.002,0.271,0.331
8/19/2019,8:57:27 AM,Trout Bog,,719.2,17.2,19.1,0.01,19.2,12,67.6,-1.7,-1.7,76.9,7.02,81.3,0.31,0,5.48,55.5,267.1,-0.002,0.271,0.339
8/19/2019,8:57:29 AM,Trout Bog,,719.1,17.2,19.1,0.01,19.3,12,67.6,-1.7,-1.7,76.8,7.02,81.2,0.38,0,5.46,56.4,268,0.004,0.275,0.414
8/19/2019,8:57:31 AM,Trout Bog,,719.1,17.2,19.1,0.01,19.3,12,67.5,-1.7,-1.7,76.8,7.02,81.2,0.48,0,5.44,57.5,268.8,0.012,0.281,0.459
8/19/2019,8:57:33 AM,Trout Bog,,719.1,17.2,19.1,0.01,19.3,12,67.5,-1.7,-1.7,76.9,7.03,81.3,0.55,0,5.43,58.5,270.4,0.025,0.29,0.505
8/19/2019,8:57:35 AM,Trout Bog,,719.1,17.2,19.2,0.01,19.3,12,67.4,-1.7,-1.7,77.1,7.05,81.4,0.61,0,5.41,59.4,272.1,0.04,0.3,0.551
8/19/2019,8:57:37 AM,Trout Bog,,719.2,17.2,19.2,0.01,19.4,12,67.3,-1.7,-1.7,77.3,7.08,81.6,0.65,0,5.4,60.2,273.7,0.057,0.312,0.579
8/19/2019,8:57:39 AM,Trout Bog,,719.1,17.2,19.2,0.01,19.4,12,67.2,-1.7,-1.7,77.4,7.1,81.8,0.67,0,5.3,65.8,275.1,0.078,0.327,0.61
8/19/2019,8:57:41 AM,Trout Bog,,719.1,17.2,19.2,0.01,19.4,12,67.1,-1.7,-1.7,77.5,7.12,82,0.69,0,5.29,66.3,276.4,0.102,0.344,0.631
8/19/2019,8:57:43 AM,Trout Bog,,719.2,17.2,19.2,0.01,19.4,12,67.1,-1.7,-1.7,77.6,7.13,82,0.67,0,5.28,66.6,277.7,0.123,0.359,0.655
8/19/2019,8:57:45 AM,Trout Bog,,719.1,17.2,19.2,0.01,19.4,13,67,-1.7,-1.7,77.6,7.13,82,0.62,0,5.28,66.9,278.6,0.152,0.379,0.68
8/19/2019,8:57:47 AM,Trout Bog,,719.1,17.2,19.2,0.01,19.4,13,67,-1.7,-1.7,77.5,7.12,81.9,0.58,0,5.27,67.2,279.6,0.178,0.398,0.708
