DATE,TIME,SITE,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
7/17/2019,11:42:08 AM,Trout Bog,,718.1,19.4,18.2,0.01,18.1,12,83,-3.9,-3.9,102.9,8,108.9,-1.72,0,4.45,118.1,239.2,0.003,0.274,0.273
7/17/2019,11:42:10 AM,Trout Bog,,718.2,19.4,18.2,0.01,18.1,12,83.1,-3.9,-3.9,103.2,8.03,109.2,-1.7,0,4.46,117.9,239.1,0.003,0.274,0.275
7/17/2019,11:42:12 AM,Trout Bog,,718.2,19.4,18.2,0.01,18,12,83.2,-3.9,-3.9,103.5,8.04,109.5,-1.7,0,4.46,117.9,239.3,0.003,0.274,0.273
7/17/2019,11:42:14 AM,Trout Bog,,718.1,19.4,18.1,0.01,18,12,83.4,-3.9,-3.9,103.7,8.04,109.7,-1.7,0,4.46,118,239.5,0.003,0.274,0.276
7/17/2019,11:42:16 AM,Trout Bog,,718.1,19.4,18.1,0.01,18,12,83.6,-3.9,-3.9,103.9,8.04,110,-1.72,0,4.46,117.8,239.5,0.001,0.273,0.273
7/17/2019,11:42:18 AM,Trout Bog,,718,19.4,18.1,0.01,18,12,83.6,-3.9,-3.9,104.1,8.05,110.2,-1.71,0,4.46,117.6,239.6,0.001,0.273,0.275
7/17/2019,11:42:20 AM,Trout Bog,,718.2,19.4,18.1,0.01,18,12,83.6,-3.9,-3.9,104.1,8.06,110.2,-1.71,0,4.46,117.5,239.8,0.003,0.274,0.275
7/17/2019,11:42:22 AM,Trout Bog,,718.1,19.4,18.2,0.01,18,12,83.5,-3.9,-3.9,103.8,8.04,109.8,-1.71,0,4.47,117.4,239.9,0.001,0.273,0.276
7/17/2019,11:42:24 AM,Trout Bog,,718.1,19.4,18.2,0.01,18.1,12,83.2,-3.9,-3.9,99,7.69,104.8,-1.71,0,4.47,117.3,240.1,0.001,0.273,0.274
7/17/2019,11:42:26 AM,Trout Bog,,718.1,19.4,18.2,0.01,18.1,12,82.8,-3.8,-3.8,99.2,7.73,105,-1.71,0,4.47,117.2,240.3,0.003,0.274,0.274
7/17/2019,11:42:28 AM,Trout Bog,,718.1,19.3,18.3,0.01,18.2,12,82.4,-3.8,-3.8,99.1,7.75,104.9,-1.69,0,4.47,117,240.4,0.003,0.274,0.274
7/17/2019,11:42:30 AM,Trout Bog,,718.1,19.3,18.3,0.01,18.2,12,82,-3.7,-3.7,99,7.77,104.8,-1.69,0,4.47,116.9,240.6,0.003,0.274,0.275
7/17/2019,11:42:32 AM,Trout Bog,,718.2,19.2,18.3,0.01,18.2,12,81.6,-3.6,-3.6,98.8,7.79,104.5,-1.67,0,4.47,116.7,240.8,0.004,0.275,0.274
7/17/2019,11:42:34 AM,Trout Bog,,718.1,19.2,18.4,0.01,18.3,12,81.2,-3.6,-3.6,98.7,7.81,104.5,-1.68,0,4.47,116.5,241,0.001,0.273,0.274
7/17/2019,11:42:36 AM,Trout Bog,,718.2,19.2,18.4,0.01,18.3,12,80.9,-3.5,-3.5,98.7,7.84,104.4,-1.66,0,4.48,116,240.9,0.003,0.274,0.275
7/17/2019,11:42:38 AM,Trout Bog,,718.1,19.1,18.4,0.01,18.3,12,80.6,-3.5,-3.5,98.7,7.86,104.4,-1.66,0,4.48,115.6,240.9,0.003,0.274,0.275
7/17/2019,11:42:40 AM,Trout Bog,,718.2,19.1,18.4,0.01,18.4,12,80.4,-3.4,-3.4,98.7,7.88,104.5,-1.64,0,4.49,115.2,241,0.001,0.273,0.273
7/17/2019,11:42:42 AM,Trout Bog,,718.1,19.1,18.4,0.01,18.3,12,80.4,-3.4,-3.4,101.7,8.12,107.6,-1.66,0,4.5,114.8,241,0.004,0.275,0.274
7/17/2019,11:42:44 AM,Trout Bog,,718.1,19.1,18.4,0.01,18.3,12,80.5,-3.5,-3.5,102.5,8.17,108.4,-1.67,0,4.5,114.6,241.2,0.002,0.273,0.275
7/17/2019,11:42:46 AM,Trout Bog,,718.1,19.1,18.4,0.01,18.3,12,80.6,-3.5,-3.5,100.8,8.03,106.6,-1.68,0,4.51,114.4,241.4,0.002,0.273,0.275
