DATE,TIME,SITE,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
7/23/2019,2:59:51 PM,Trout Bog,,722.3,18.8,18.6,0.01,18.6,12,77.8,-3.1,-3.1,100.9,8.27,106.2,-1.5,0,4.66,104.6,224.5,0.002,0.273,0.273
7/23/2019,2:59:53 PM,Trout Bog,,722.4,18.8,18.6,0.01,18.6,12,77.9,-3.1,-3.1,101,8.27,106.2,-1.47,0,4.66,104.6,225.1,0.002,0.273,0.276
7/23/2019,2:59:55 PM,Trout Bog,,722.4,18.8,18.6,0.01,18.6,12,77.9,-3.1,-3.1,101.1,8.28,106.4,-1.49,0,4.66,104.7,225.7,0.002,0.273,0.273
7/23/2019,2:59:57 PM,Trout Bog,,722.4,18.8,18.6,0.01,18.6,12,78,-3.1,-3.1,101.2,8.28,106.5,-1.49,0,4.66,105,226.3,0.004,0.275,0.274
7/23/2019,2:59:59 PM,Trout Bog,,722.3,18.8,18.6,0.01,18.6,12,78,-3.1,-3.1,101.2,8.28,106.5,-1.5,0,4.65,105.2,226.9,0.002,0.274,0.275
7/23/2019,3:00:01 PM,Trout Bog,,722.4,18.8,18.6,0.01,18.6,12,77.9,-3.1,-3.1,100.9,8.26,106.2,-1.5,0,4.65,105.4,227.6,0.003,0.274,0.291
7/23/2019,3:00:03 PM,Trout Bog,,722.3,18.8,18.6,0.01,18.6,12,77.7,-3,-3,100.5,8.24,105.7,-1.52,0,4.64,105.5,228.2,0.005,0.275,0.298
7/23/2019,3:00:05 PM,Trout Bog,,722.4,18.8,18.7,0.01,18.7,12,77.5,-3,-3,97.8,8.04,102.9,-1.52,0,4.64,105.6,228.8,0.007,0.277,0.308
7/23/2019,3:00:07 PM,Trout Bog,,722.4,18.8,18.7,0.01,18.7,12,77.2,-3,-3,97.3,8.02,102.4,-1.55,0,4.64,105.8,229.5,0.01,0.279,0.326
7/23/2019,3:00:09 PM,Trout Bog,,722.3,18.7,18.8,0.01,18.8,12,76.9,-2.9,-2.9,97,8.02,102.1,-1.57,0,4.63,105.9,230.2,0.015,0.282,0.36
