DATE,TIME,SITE,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
7/18/2019,2:38:08 PM,Trout Bog,,711.1,18.4,17.6,0.01,17.5,11,81.4,-3.6,-3.6,89.6,7.09,95.8,-1.74,0,4.55,111.9,253.9,0.004,0.275,0.273
7/18/2019,2:38:10 PM,Trout Bog,,711.2,18.4,17.6,0.01,17.5,11,81.5,-3.6,-3.6,89.7,7.08,95.8,-1.73,0,4.54,112.3,254.3,0.004,0.275,0.273
7/18/2019,2:38:12 PM,Trout Bog,,711.1,18.4,17.6,0.01,17.5,11,81.5,-3.6,-3.6,89.6,7.08,95.8,-1.72,0,4.54,112.6,254.8,0.005,0.276,0.272
7/18/2019,2:38:14 PM,Trout Bog,,711.1,18.4,17.6,0.01,17.5,11,81.5,-3.6,-3.6,89.5,7.07,95.7,-1.72,0,4.53,112.9,255.1,0.004,0.275,0.273
7/18/2019,2:38:16 PM,Trout Bog,,711.1,18.4,17.6,0.01,17.5,11,81.5,-3.6,-3.6,89.4,7.06,95.6,-1.72,0,4.53,113.2,255.5,0.004,0.275,0.272
7/18/2019,2:38:18 PM,Trout Bog,,711.2,18.5,17.6,0.01,17.6,11,81.3,-3.6,-3.6,89.2,7.06,95.4,-1.7,0,4.52,113.6,255.9,0.004,0.275,0.273
7/18/2019,2:38:20 PM,Trout Bog,,711.2,18.4,17.7,0.01,17.6,11,81.1,-3.6,-3.6,89,7.06,95.1,-1.69,0,4.52,113.9,256.3,0.004,0.274,0.271
7/18/2019,2:38:22 PM,Trout Bog,,711.2,18.4,17.7,0.01,17.6,12,80.8,-3.5,-3.5,88.7,7.05,94.8,-1.69,0,4.51,114.2,256.7,0.002,0.274,0.273
7/18/2019,2:38:24 PM,Trout Bog,,711.2,18.4,17.8,0.01,17.7,12,80.4,-3.4,-3.4,88.3,7.04,94.3,-1.69,0,4.5,114.4,257.2,0.003,0.274,0.272
7/18/2019,2:38:26 PM,Trout Bog,,711.1,18.4,17.8,0.01,17.8,12,79.9,-3.4,-3.4,87.9,7.04,93.9,-1.72,0,4.5,114.7,257.7,0.004,0.274,0.272
7/18/2019,2:38:28 PM,Trout Bog,,711.1,18.3,17.8,0.01,17.8,12,79.4,-3.3,-3.3,87.5,7.05,93.5,-1.72,0,4.49,114.9,258.2,0.002,0.274,0.275
7/18/2019,2:38:30 PM,Trout Bog,,711.1,18.2,17.8,0.01,17.8,12,79,-3.2,-3.2,87.4,7.07,93.4,-1.73,0,4.49,115.1,258.7,0.004,0.275,0.281
7/18/2019,2:38:32 PM,Trout Bog,,711.1,18.2,17.8,0.01,17.8,12,78.7,-3.2,-3.2,87.3,7.08,93.3,-1.72,0,4.48,115.4,259.4,0.005,0.276,0.287
7/18/2019,2:38:34 PM,Trout Bog,,711.2,18.1,17.8,0.01,17.8,12,78.5,-3.2,-3.2,87.3,7.1,93.3,-1.73,0,4.47,115.6,260.2,0.007,0.277,0.31
7/18/2019,2:38:36 PM,Trout Bog,,711.1,18,17.8,0.01,17.8,12,78.3,-3.1,-3.1,87.5,7.13,93.5,-1.71,0,4.47,115.9,261,0.011,0.28,0.332
