Date,Time,Site,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position,,,
6/5/2024,1:21:28 PM,Trout Bog,BogGhost,706.8,12.1,12.6,0,12.7,8,22.703,,,82.4,7.11,,-0.09,0,4.37,123,287.8,-0.007,0,0.003,,,
6/5/2024,1:21:30 PM,Trout Bog,BogGhost,706.9,13.3,13.9,0,13.9,9,22.679,,,82.3,7.1,,-0.08,0,4.37,123.4,288.9,-0.007,0.0024,-0.009,,,
6/5/2024,1:21:32 PM,Trout Bog,BogGhost,706.8,13.6,14.2,0.01,14.3,9,22.654,,,82.2,7.1,,-0.09,0,4.36,123.6,289.9,-0.007,0.0048,0.002,,,
6/5/2024,1:21:34 PM,Trout Bog,BogGhost,706.8,13.6,14.3,0.01,14.3,9,22.625,,,82.1,7.09,,-0.1,0,4.36,123.9,290.9,-0.007,0.0072,-0.008,,,
6/5/2024,1:21:36 PM,Trout Bog,BogGhost,706.8,14.2,14.9,0.01,15,10,22.592,,,82,7.09,,-0.12,0,4.16,135.6,309.4,-0.007,0.0096,0.005,,,
6/5/2024,1:21:38 PM,Trout Bog,BogGhost,706.8,15.1,15.8,0.01,15.9,10,22.565,,,81.9,7.08,,-0.13,0,4.05,141.6,318.2,-0.008,0.012,-0.013,,,
6/5/2024,1:21:40 PM,Trout Bog,BogGhost,706.9,15.2,15.9,0.01,16,10,22.549,,,81.8,7.08,,-0.15,0,4.12,137.7,313.4,-0.008,0.0144,0.004,,,
6/5/2024,1:21:42 PM,Trout Bog,BogGhost,706.9,15.2,15.9,0.01,16,10,22.528,,,81.7,7.07,,-0.15,0,4.17,134.9,310.3,-0.008,0.0168,-0.009,,,
6/5/2024,1:21:44 PM,Trout Bog,BogGhost,706.8,15.2,16,0.01,16.1,10,22.5,,,81.6,7.07,,-0.16,0,4.2,133,308.3,-0.009,0.0192,-0.008,,,
6/5/2024,1:21:46 PM,Trout Bog,BogGhost,706.8,15.2,16,0.01,16.1,10,22.46,,,81.5,7.06,,-0.17,0,4.22,131.6,307,-0.008,0.0216,-0.002,,,
