Date,Time,Site,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
07/24/2024,,Trout Bog,LTER1,,,,,,,20.5,,,67.4,6.06,,NA,,,,NA,,0,
07/24/2024,,Trout Bog,LTER1,,,,,,,20.4,,,66.1,5.98,,NA,,,,NA,,0.25,
07/24/2024,,Trout Bog,LTER1,,,,,,,20.3,,,65,5.88,,NA,,,,NA,,0.5,
07/24/2024,,Trout Bog,LTER1,,,,,,,20.2,,,63.8,5.78,,NA,,,,NA,,0.75,
07/24/2024,,Trout Bog,LTER1,,,,,,,19.7,,,24.3,2.22,,NA,,,,NA,,1,
07/24/2024,,Trout Bog,LTER1,,,,,,,17.6,,,4.1,0.39,,NA,,,,NA,,1.25,
07/24/2024,,Trout Bog,LTER1,,,,,,,16,,,1.6,0.16,,NA,,,,NA,,1.5,
07/24/2024,,Trout Bog,LTER1,,,,,,,13.2,,,0.9,0.1,,NA,,,,NA,,1.75,
07/24/2024,,Trout Bog,LTER1,,,,,,,11.9,,,0.6,0.07,,NA,,,,NA,,2,
07/24/2024,,Trout Bog,LTER1,,,,,,,9.6,,,0.3,0.03,,NA,,,,NA,,2.25,
07/24/2024,,Trout Bog,LTER1,,,,,,,8.7,,,-0.1,-0.01,,NA,,,,NA,,2.5,
07/24/2024,,Trout Bog,LTER1,,,,,,,7.4,,,-0.3,-0.04,,NA,,,,NA,,2.75,
07/24/2024,,Trout Bog,LTER1,,,,,,,6.7,,,-0.6,-0.07,,NA,,,,NA,,3,
07/24/2024,,Trout Bog,LTER1,,,,,,,6.1,,,-0.7,-0.08,,NA,,,,NA,,3.25,
07/24/2024,,Trout Bog,LTER1,,,,,,,5.6,,,-0.8,-0.1,,NA,,,,NA,,3.5,
07/24/2024,,Trout Bog,LTER1,,,,,,,5.3,,,-0.8,-0.11,,NA,,,,NA,,3.75,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.8,,,-0.9,-0.12,,NA,,,,NA,,4,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.6,,,-1,-0.12,,NA,,,,NA,,4.25,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.5,,,-1,-0.13,,NA,,,,NA,,4.5,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.5,,,-1,-0.13,,NA,,,,NA,,4.75,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1,-0.14,,NA,,,,NA,,5,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.1,-0.14,,NA,,,,NA,,5.25,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.1,-0.14,,NA,,,,NA,,5.5,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.1,-0.15,,NA,,,,NA,,5.75,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.1,-0.15,,NA,,,,NA,,6,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.1,-0.15,,NA,,,,NA,,6.25,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.1,-0.15,,NA,,,,NA,,6.5,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.1,-0.15,,NA,,,,NA,,6.75,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.1,-0.14,,NA,,,,NA,,7,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.1,-0.14,,NA,,,,NA,,7.25,
07/24/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.1,-0.14,,NA,,,,NA,,7.5,
